dataset,algorithm,n,time_us,char_comps
reverse,StringMergeSort,3000,2606,56398
reverse,MSDRadix,3000,1063,7315
reverse,MSDRadixQuick,3000,553,19245
nearly,QuickSort,100,4,4338
nearly,MergeSort,100,33,687
nearly,StringQuickSort,100,12,728
nearly,StringMergeSort,100,35,1212
nearly,MSDRadix,100,23,253
nearly,MSDRadixQuick,100,15,647
nearly,QuickSort,200,11,7788
nearly,MergeSort,200,86,1576
nearly,StringQuickSort,200,16,1559
nearly,StringMergeSort,200,94,2844
nearly,MSDRadix,200,51,506
nearly,MSDRadixQuick,200,28,1261
nearly,QuickSort,300,17,10685
nearly,MergeSort,300,147,2608
nearly,StringQuickSort,300,31,2658
nearly,StringMergeSort,300,151,4752
nearly,MSDRadix,300,73,754
nearly,MSDRadixQuick,300,42,1899
nearly,QuickSort,400,26,16467
nearly,MergeSort,400,220,3450
nearly,StringQuickSort,400,36,3518
nearly,StringMergeSort,400,206,6272
nearly,MSDRadix,400,94,999
nearly,MSDRadixQuick,400,64,2527
nearly,QuickSort,500,30,18170
nearly,MergeSort,500,266,4396
nearly,StringQuickSort,500,47,4562
nearly,StringMergeSort,500,284,8592
nearly,MSDRadix,500,107,1233
nearly,MSDRadixQuick,500,71,3209
nearly,QuickSort,600,45,23892
nearly,MergeSort,600,344,5867
nearly,StringQuickSort,600,54,5585
nearly,StringMergeSort,600,355,10796
nearly,MSDRadix,600,127,1466
nearly,MSDRadixQuick,600,94,3812
nearly,QuickSort,700,56,25566
nearly,MergeSort,700,431,6964
nearly,StringQuickSort,700,70,6819
nearly,StringMergeSort,700,449,12636
nearly,MSDRadix,700,151,1717
nearly,MSDRadixQuick,700,102,4544
nearly,QuickSort,800,72,31058
nearly,MergeSort,800,466,7888
nearly,StringQuickSort,800,73,7786
nearly,StringMergeSort,800,494,14521
nearly,MSDRadix,800,175,1957
nearly,MSDRadixQuick,800,122,5181
nearly,QuickSort,900,65,34554
nearly,MergeSort,900,643,8936
nearly,StringQuickSort,900,80,9169
nearly,StringMergeSort,900,579,16330
nearly,MSDRadix,900,198,2202
nearly,MSDRadixQuick,900,144,5732
nearly,QuickSort,1000,72,31804
nearly,MergeSort,1000,639,9979
nearly,StringQuickSort,1000,91,10440
nearly,StringMergeSort,1000,698,19469
nearly,MSDRadix,1000,230,2443
nearly,MSDRadixQuick,1000,145,6452
nearly,QuickSort,1100,97,40833
nearly,MergeSort,1100,736,11416
nearly,StringQuickSort,1100,108,11619
nearly,StringMergeSort,1100,780,21476
nearly,MSDRadix,1100,250,2677
nearly,MSDRadixQuick,1100,173,7040
nearly,QuickSort,1200,93,44751
nearly,MergeSort,1200,804,12482
nearly,StringQuickSort,1200,121,12631
nearly,StringMergeSort,1200,812,22900
nearly,MSDRadix,1200,271,2924
nearly,MSDRadixQuick,1200,191,7749
nearly,QuickSort,1300,98,50868
nearly,MergeSort,1300,899,13905
nearly,StringQuickSort,1300,127,14216
nearly,StringMergeSort,1300,906,25302
nearly,MSDRadix,1300,315,3174
nearly,MSDRadixQuick,1300,207,8389
nearly,QuickSort,1400,107,54417
nearly,MergeSort,1400,1001,15069
nearly,StringQuickSort,1400,139,15604
nearly,StringMergeSort,1400,973,27460
nearly,MSDRadix,1400,310,3413
nearly,MSDRadixQuick,1400,200,9036
nearly,QuickSort,1500,124,70228
nearly,MergeSort,1500,1040,16264
nearly,StringQuickSort,1500,151,16451
nearly,StringMergeSort,1500,1090,30024
nearly,MSDRadix,1500,363,3662
nearly,MSDRadixQuick,1500,234,9712
nearly,QuickSort,1600,126,69284
nearly,MergeSort,1600,1107,17308
nearly,StringQuickSort,1600,156,17987
nearly,StringMergeSort,1600,1144,31927
nearly,MSDRadix,1600,344,3894
nearly,MSDRadixQuick,1600,230,10275
nearly,QuickSort,1700,128,69690
nearly,MergeSort,1700,1186,18678
nearly,StringQuickSort,1700,176,19773
nearly,StringMergeSort,1700,1239,34386
nearly,MSDRadix,1700,438,4137
nearly,MSDRadixQuick,1700,262,10930
nearly,QuickSort,1800,131,57978
nearly,MergeSort,1800,1393,19375
nearly,StringQuickSort,1800,187,20976
nearly,StringMergeSort,1800,1315,35917
nearly,MSDRadix,1800,402,4379
nearly,MSDRadixQuick,1800,256,11522
nearly,QuickSort,1900,134,60892
nearly,MergeSort,1900,1375,20644
nearly,StringQuickSort,1900,200,21954
nearly,StringMergeSort,1900,1408,39110
nearly,MSDRadix,1900,435,4626
nearly,MSDRadixQuick,1900,291,12250
nearly,QuickSort,2000,154,59703
nearly,MergeSort,2000,1446,21627
nearly,StringQuickSort,2000,202,23206
nearly,StringMergeSort,2000,1551,41772
nearly,MSDRadix,2000,477,4864
nearly,MSDRadixQuick,2000,330,12908
nearly,QuickSort,2100,156,63996
nearly,MergeSort,2100,1558,22947
nearly,StringQuickSort,2100,205,24375
nearly,StringMergeSort,2100,1593,43688
nearly,MSDRadix,2100,524,5091
nearly,MSDRadixQuick,2100,365,13401
nearly,QuickSort,2200,163,73971
nearly,MergeSort,2200,1657,24718
nearly,StringQuickSort,2200,230,26625
nearly,StringMergeSort,2200,1765,45847
nearly,MSDRadix,2200,509,5333
nearly,MSDRadixQuick,2200,366,14157
nearly,QuickSort,2300,183,85446
nearly,MergeSort,2300,1710,25396
nearly,StringQuickSort,2300,244,27073
nearly,StringMergeSort,2300,1878,46349
nearly,MSDRadix,2300,566,5573
nearly,MSDRadixQuick,2300,377,14842
nearly,QuickSort,2400,187,88027
nearly,MergeSort,2400,1783,26881
nearly,StringQuickSort,2400,253,28730
nearly,StringMergeSort,2400,1855,48383
nearly,MSDRadix,2400,566,5801
nearly,MSDRadixQuick,2400,394,15369
nearly,QuickSort,2500,205,97122
nearly,MergeSort,2500,2005,28044
nearly,StringQuickSort,2500,281,29824
nearly,StringMergeSort,2500,1979,50196
nearly,MSDRadix,2500,587,6042
nearly,MSDRadixQuick,2500,415,16034
nearly,QuickSort,2600,214,104297
nearly,MergeSort,2600,2036,29953
nearly,StringQuickSort,2600,267,30545
nearly,StringMergeSort,2600,2093,53139
nearly,MSDRadix,2600,627,6292
nearly,MSDRadixQuick,2600,420,16690
nearly,QuickSort,2700,194,110022
nearly,MergeSort,2700,2162,31117
nearly,StringQuickSort,2700,304,33263
nearly,StringMergeSort,2700,2574,56600
nearly,MSDRadix,2700,640,6535
nearly,MSDRadixQuick,2700,437,17349
nearly,QuickSort,2800,204,129696
nearly,MergeSort,2800,2255,32205
nearly,StringQuickSort,2800,305,33287
nearly,StringMergeSort,2800,2319,58130
nearly,MSDRadix,2800,626,6777
nearly,MSDRadixQuick,2800,426,17880
nearly,QuickSort,2900,204,135862
nearly,MergeSort,2900,2257,33635
nearly,StringQuickSort,2900,309,35390
nearly,StringMergeSort,2900,2331,59020
nearly,MSDRadix,2900,641,7022
nearly,MSDRadixQuick,2900,451,18706
nearly,QuickSort,3000,219,158754
nearly,MergeSort,3000,2280,34438
nearly,StringQuickSort,3000,311,36023
nearly,StringMergeSort,3000,2379,62846
nearly,MSDRadix,3000,640,7268
nearly,MSDRadixQuick,3000,444,19306
